STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",05-12-2016,10.96,252,1440,0.22,44,52,40,300,290,23,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",06-12-2016,8.95,5803,454,0.37,43,47,37,50,50,19.9,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-12-2016,7.38,117,60,0.07,44,47,41,50,50,18.1,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-12-2016,12.75,8169,636,0,43,45,35,260,260,28,35
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-12-2016,20.13,5835,1275,0,37,43,31,300,290,36,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-12-2016,12.3,5517,923,0,33,39,30,260,300,18.1,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-12-2016,6.04,198,409,0.02,33,36,28,200,200,15,18
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-12-2016,11.86,3486,774,0.6,42,48,34,190,200,23,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-12-2016,8.5,8081,2355,0,41,44,37,320,320,17,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-12-2016,12.53,2087,249,0,41,45,35,270,330,21,27
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-12-2016,23.04,6190,1826,0,30,36,21,310,310,40,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-12-2016,13.65,8305,92,0,22,29,19,270,270,29.1,36
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-12-2016,8.5,6979,1357,0.74,31,40,27,240,240,17,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-12-2016,16.11,4636,378,0.05,47,60,33,310,300,38,48
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-12-2016,12.53,7511,2136,0,31,33,26,330,310,21.9,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-12-2016,7.61,8577,1884,0,27,35,20,240,240,19.9,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-12-2016,9.17,9952,1612,0,35,41,30,250,260,17,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-12-2016,13.42,5536,543,0,42,51,34,310,290,29.1,38
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-12-2016,12.08,3963,1507,0,43,48,38,330,330,23,29
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-12-2016,10.29,5188,697,0.6,42,47,39,320,260,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-12-2016,10.51,4706,1688,0,45,52,36,330,330,17,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-12-2016,9.62,7660,2354,0,39,49,31,160,170,18.1,23
